# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/scratch/hodgskiss/Cu_Project/featurecounts/GCA_000698785.1_ASM69878v1_genomic.gff" "-t" "gene" "-g" "ID" "-o" "./featurecounts/cu_counts.txt" "/scratch/hodgskiss/Cu_Project/Bowtie2/L1Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L2Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L3Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L5Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L6Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R1Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R2Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R3Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R4Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R5Day5_trimmed_filt_mRNA.sam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/hodgskiss/Cu_Project/Bowtie2/L1Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L2Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L3Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L5Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L6Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R1Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R2Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R3Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R4Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R5Day5_trimmed_filt_mRNA.sam
gene58	CP007536.1	45929	46177	-	249	64	60	25	111	73	84	89	94	73	62
gene59	CP007536.1	46194	47273	-	1080	1461	1851	1350	3450	2737	2138	1314	1424	1265	978
gene60	CP007536.1	47297	47470	-	174	62	64	64	126	86	79	68	82	84	50
gene61	CP007536.1	47531	48790	-	1260	656	895	627	1207	858	328	333	432	423	259
gene62	CP007536.1	48801	49832	-	1032	381	394	311	648	452	243	239	331	313	180
gene63	CP007536.1	49941	50516	+	576	162	191	150	297	256	245	158	174	157	129
gene64	CP007536.1	50506	51846	-	1341	322	494	325	802	628	673	418	497	412	293
gene65	CP007536.1	51914	52801	+	888	224	324	250	547	410	693	571	684	592	457
gene66	CP007536.1	52840	53766	+	927	99	127	108	236	198	369	251	264	218	167
gene67	CP007536.1	53761	54696	-	936	67	126	63	164	120	120	85	70	97	44
gene68	CP007536.1	54753	55109	+	357	48	49	59	84	54	68	52	68	71	44
gene69	CP007536.1	55211	55633	+	423	1057	1423	1041	2307	1783	2570	2086	2702	2381	2084
gene70	CP007536.1	55635	56084	+	450	1422	1894	1350	2911	2192	2593	2371	2803	2551	2140
gene71	CP007536.1	56101	56454	-	354	125	81	83	240	159	124	121	175	148	121
gene72	CP007536.1	56467	57285	-	819	38	57	47	105	66	112	82	109	75	60
gene73	CP007536.1	57356	58009	+	654	549	677	497	1203	820	1145	1033	1428	1255	869
gene74	CP007536.1	58094	58762	+	669	408	417	349	861	679	987	690	800	762	564
gene75	CP007536.1	58759	60084	+	1326	943	1100	878	2162	1636	2044	1344	1651	1393	953
gene76	CP007536.1	60056	61063	+	1008	427	467	351	858	741	794	601	763	652	469
gene77	CP007536.1	61101	61721	+	621	107	103	80	198	162	191	142	166	176	110
gene78	CP007536.1	61774	61851	+	78	9	13	8	22	9	19	18	27	32	13
gene79	CP007536.1	62155	62571	-	417	153	163	128	297	216	250	197	265	275	214
gene80	CP007536.1	62600	63382	-	783	64	79	55	158	137	63	62	91	76	55
gene81	CP007536.1	63400	63723	-	324	68	74	68	114	105	45	33	74	54	41
gene82	CP007536.1	63728	64048	-	321	56	97	87	174	114	72	64	104	90	81
gene83	CP007536.1	64328	64501	-	174	52	58	49	127	77	59	42	73	63	33
gene84	CP007536.1	64494	65000	-	507	139	169	109	249	201	152	121	159	147	132
gene85	CP007536.1	64993	65178	+	186	34	52	29	74	52	47	28	16	19	15
gene86	CP007536.1	65194	65670	-	477	102	211	137	292	232	145	85	99	102	89
gene87	CP007536.1	65836	67464	-	1629	2036	2737	2146	4556	3379	2009	1575	2231	2221	2039
gene88	CP007536.1	67471	68106	-	636	1020	1303	1027	2029	1628	1682	1317	1945	1725	1556
gene89	CP007536.1	68329	69160	-	832	115	207	157	305	225	220	181	240	213	175
gene90	CP007536.1	69489	71591	-	2103	1451	1773	1275	3152	2422	2166	1552	2150	1845	1383
gene91	CP007536.1	71621	72301	-	681	774	1037	753	1672	1213	1352	1057	1475	1277	893
gene92	CP007536.1	72403	74181	+	1779	562	800	513	1180	932	547	431	494	504	350
gene93	CP007536.1	74718	75005	+	288	52	57	44	116	75	86	59	52	55	30
gene94	CP007536.1	75033	76703	-	1671	406	604	435	932	678	226	279	307	311	228
gene95	CP007536.1	76868	77533	+	666	315	457	304	701	601	54	58	61	66	20
gene96	CP007536.1	77542	78717	-	1176	158	193	135	349	270	1228	430	529	454	431
gene97	CP007536.1	78762	79559	-	798	1338	1600	1174	2898	2120	4253	2375	2093	1872	1456
gene98	CP007536.1	79667	79858	-	192	11	22	14	19	17	32	25	36	37	26
gene99	CP007536.1	79956	80528	-	573	1514	1954	1492	3274	2284	5839	3694	5137	4369	4093
gene100	CP007536.1	80631	81074	-	444	66	80	68	130	104	119	124	160	134	83
gene101	CP007536.1	81184	81774	+	591	166	208	160	323	321	1625	669	717	620	449
gene102	CP007536.1	82045	86082	+	4038	118	102	91	221	183	3714	1507	1651	1392	1118
gene103	CP007536.1	86165	88171	+	2007	621	810	608	1475	1152	846	397	553	476	346
gene104	CP007536.1	88319	100498	+	12180	336	478	334	813	634	2438	1378	1777	1489	1104
gene105	CP007536.1	100576	101154	+	579	97	85	84	172	120	257	224	275	251	152
gene106	CP007536.1	101206	102978	+	1773	1247	1608	1070	2821	2174	1732	1038	1230	1072	822
gene107	CP007536.1	103198	103629	-	432	2	2	1	5	5	3	6	6	1	3
gene108	CP007536.1	103648	103770	-	123	0	0	0	2	1	1	2	3	1	1
gene109	CP007536.1	103822	104004	-	183	0	0	0	0	1	0	0	0	0	0
gene110	CP007536.1	104097	104228	+	132	5	3	2	5	6	2	10	9	5	1
gene111	CP007536.1	104416	104817	-	402	63	113	79	153	104	72	59	85	70	64
gene112	CP007536.1	105123	105284	+	162	2	3	2	3	2	1	2	3	6	3
gene113	CP007536.1	105281	105877	+	597	6	9	10	16	13	5	5	6	6	4
gene114	CP007536.1	105882	106241	+	360	5	4	3	8	4	2	5	3	3	2
gene115	CP007536.1	106228	106884	+	657	8	15	11	17	19	14	11	14	9	9
gene116	CP007536.1	106907	108937	-	2031	207	241	169	351	268	244	207	247	237	187
gene117	CP007536.1	109060	110400	-	1341	44	106	73	130	92	90	93	114	98	94
gene118	CP007536.1	110507	110722	+	216	7	6	5	9	9	3	4	4	1	2
gene119	CP007536.1	110729	111409	+	681	15	41	22	56	33	13	9	15	11	16
gene120	CP007536.1	111409	112317	+	909	33	37	31	48	40	32	34	33	36	25
gene121	CP007536.1	112368	113879	+	1512	435	475	427	1003	611	209	201	275	215	200
gene122	CP007536.1	114026	114463	-	438	309	326	287	575	406	395	347	453	448	349
gene123	CP007536.1	114571	114744	+	174	6	12	8	19	7	8	8	6	5	5
gene124	CP007536.1	114741	116150	+	1410	73	87	58	138	105	63	54	66	72	45
gene125	CP007536.1	116368	116490	+	123	0	1	0	2	0	2	0	2	1	0
gene126	CP007536.1	116608	117756	+	1149	256	302	248	493	364	374	309	339	324	293
gene127	CP007536.1	117719	118390	+	672	69	67	49	121	100	87	60	83	77	73
gene128	CP007536.1	118417	119772	-	1356	100	106	85	172	139	121	88	97	87	68
gene129	CP007536.1	119774	120742	-	969	49	44	39	86	63	103	98	124	86	80
gene130	CP007536.1	120855	123911	+	3057	379	497	375	802	597	488	425	493	501	395
gene131	CP007536.1	123908	125665	+	1758	235	321	231	533	372	354	317	367	333	269
gene132	CP007536.1	125674	126534	+	861	62	72	73	151	104	104	75	103	100	84
gene133	CP007536.1	126628	127164	-	537	51	44	36	87	67	62	54	78	84	58
gene134	CP007536.1	127294	128097	-	804	1198	1756	1197	2737	2041	1579	1388	1848	1634	1370
gene135	CP007536.1	128192	129850	+	1659	188	204	164	358	262	393	288	418	342	292
gene136	CP007536.1	129940	130395	+	456	479	763	564	1745	1238	7810	2379	2231	1558	924
gene137	CP007536.1	130570	131394	+	825	1776	2460	1863	4225	3053	2563	2237	3154	2902	3086
gene138	CP007536.1	131493	133085	-	1593	205	255	205	463	330	138	108	141	135	84
gene139	CP007536.1	133267	133749	+	483	47	48	41	113	87	94	73	91	64	62
gene140	CP007536.1	133928	134860	+	933	111	131	97	201	160	245	193	233	184	121
gene141	CP007536.1	134843	136189	-	1347	817	1112	810	1718	1271	1910	1450	1919	1554	1180
gene142	CP007536.1	136293	136448	+	156	58	59	71	103	88	98	101	156	125	87
gene143	CP007536.1	136445	136762	-	318	323	523	351	732	667	954	639	669	548	399
gene144	CP007536.1	136814	137476	+	663	116	147	109	300	243	301	194	260	206	160
gene145	CP007536.1	137473	138780	-	1308	122	153	131	337	224	323	227	267	209	175
gene146	CP007536.1	138849	139355	+	507	48	72	40	120	99	153	111	141	112	84
gene147	CP007536.1	139377	139656	+	280	30625	46740	42081	35588	57213	21585	24776	25308	24619	21544
gene148	CP007536.1	139693	139941	-	249	5	1	6	4	3	5	3	4	4	4
gene149	CP007536.1	140251	140571	+	321	3	9	4	21	15	6	6	13	13	18
gene150	CP007536.1	140641	140811	+	171	45	75	61	112	117	75	74	114	146	85
gene151	CP007536.1	140843	141223	+	381	58	65	44	125	107	162	118	140	111	83
gene152	CP007536.1	141266	142231	+	966	201	301	212	441	321	499	374	434	311	260
gene153	CP007536.1	142233	142877	+	645	680	885	572	1224	887	760	630	792	782	624
gene154	CP007536.1	142874	143029	-	156	111	250	160	449	342	184	222	282	229	170
gene155	CP007536.1	143158	144219	-	1062	1530	1987	1482	3330	2400	4697	3272	3600	3136	2595
gene156	CP007536.1	144179	145282	+	1104	60	93	59	134	91	152	131	150	140	106
gene157	CP007536.1	145284	145967	+	684	159	247	161	380	282	524	437	598	524	373
gene158	CP007536.1	145956	146288	-	333	35	30	32	61	52	77	68	100	77	46
gene159	CP007536.1	146385	147035	+	651	78	101	77	212	150	194	149	175	146	107
gene160	CP007536.1	147010	148803	-	1794	489	560	425	971	783	1226	920	1196	1078	839
gene161	CP007536.1	148810	148980	-	171	64	64	62	165	119	174	180	238	207	149
gene162	CP007536.1	149025	149426	-	402	243	431	336	466	564	728	627	735	575	398
gene163	CP007536.1	149695	150003	+	309	515	607	460	1054	835	1006	869	1062	970	770
gene164	CP007536.1	150071	151978	+	1908	424	636	443	990	723	927	551	627	536	421
gene165	CP007536.1	152019	152468	+	450	575	732	546	1130	1015	836	507	504	437	291
gene166	CP007536.1	152458	153372	-	915	2190	2719	2026	4422	3675	4400	3068	3355	3022	2112
gene167	CP007536.1	153667	153864	-	198	14	17	13	20	25	23	33	30	32	20
gene168	CP007536.1	153859	154191	+	333	665	1120	796	1693	1494	2028	1721	1959	1686	1214
gene169	CP007536.1	154226	154912	+	687	373	460	327	791	624	865	776	888	862	587
gene170	CP007536.1	154976	155365	+	390	74	100	86	171	137	141	112	152	148	103
gene171	CP007536.1	155362	156768	-	1407	472	573	412	1171	787	1224	791	1015	870	641
gene172	CP007536.1	156878	156950	+	73	1	1	0	1	0	0	0	0	2	1
gene173	CP007536.1	157005	157103	+	99	4	3	4	13	3	6	7	12	19	5
gene174	CP007536.1	158725	158871	+	147	2	3	1	4	3	6	5	8	9	6
gene175	CP007536.1	159432	159614	+	183	0	2	4	11	3	6	6	3	6	4
gene176	CP007536.1	159767	160072	+	306	62	85	64	177	114	42	29	41	46	33
gene177	CP007536.1	160261	160359	-	99	9	7	6	12	18	4	6	7	5	5
gene178	CP007536.1	160666	161079	+	414	29	38	24	68	39	32	31	28	15	21
gene179	CP007536.1	161206	162162	-	957	60	76	79	260	81	31	25	44	34	24
gene180	CP007536.1	162594	162851	+	258	153	262	180	339	294	203	149	213	189	153
gene181	CP007536.1	163206	164114	-	909	83	97	105	271	150	94	88	94	105	89
gene182	CP007536.1	164587	165042	-	456	26	35	22	57	43	23	24	41	35	19
gene183	CP007536.1	164987	165193	-	207	1	8	3	12	7	2	1	3	4	2
gene184	CP007536.1	165190	166833	-	1644	268	411	277	569	436	231	172	228	192	141
gene185	CP007536.1	167077	167436	+	360	51	73	50	115	88	58	59	50	51	45
gene186	CP007536.1	167437	167736	-	300	134	183	147	306	257	155	115	154	122	111
gene187	CP007536.1	167842	168126	-	285	110	105	67	186	138	64	64	70	45	49
gene188	CP007536.1	168215	168463	-	249	44	44	48	88	53	15	29	28	19	11
gene189	CP007536.1	168561	169790	-	1230	596	889	611	1334	1042	554	400	433	362	274
gene190	CP007536.1	169967	170257	+	291	99	89	64	213	132	14	14	15	16	5
gene191	CP007536.1	170423	171235	-	813	9135	12264	9323	21528	14904	99	143	349	286	245
gene192	CP007536.1	171443	171742	+	300	28	26	21	57	40	28	36	45	38	24
gene193	CP007536.1	171841	172068	-	228	37	55	40	84	62	112	55	81	73	56
gene194	CP007536.1	172145	172363	+	219	553	1205	804	1061	1349	257	227	167	159	92
gene195	CP007536.1	172367	172858	+	492	80	82	66	155	142	40	38	56	43	27
gene196	CP007536.1	172924	173688	+	765	49	67	51	69	83	31	27	22	26	19
gene197	CP007536.1	173734	174993	-	1260	39	39	41	75	66	96	78	95	94	57
gene198	CP007536.1	175370	175981	+	612	193	237	175	428	312	302	282	396	328	289
gene199	CP007536.1	176028	177002	-	975	163	260	204	393	280	303	285	373	327	229
gene200	CP007536.1	176989	177168	-	180	1	0	0	1	0	0	0	2	0	0
gene201	CP007536.1	177149	177988	+	840	96	143	110	239	201	231	172	224	182	167
gene202	CP007536.1	178067	178903	+	837	76	111	80	186	115	150	108	124	125	109
gene203	CP007536.1	178948	179391	+	444	28	22	21	52	54	65	67	76	52	31
gene204	CP007536.1	179477	179614	+	138	13	9	10	23	12	26	13	17	13	17
gene205	CP007536.1	179677	179895	+	219	76	90	80	130	108	127	110	99	120	90
gene206	CP007536.1	180363	180749	+	387	233	292	231	517	381	512	435	429	426	230
gene207	CP007536.1	180746	181174	-	429	182	265	185	361	276	185	148	204	183	152
gene208	CP007536.1	181187	181747	+	561	157	295	212	349	293	416	324	521	413	329
gene209	CP007536.1	181758	182171	+	414	76	106	78	194	126	168	171	241	174	132
gene210	CP007536.1	182211	182678	+	468	446	661	406	1035	844	949	682	684	701	481
gene211	CP007536.1	182805	184037	+	1233	304	368	289	681	575	598	422	414	365	238
gene212	CP007536.1	184034	185332	-	1299	85	125	79	209	145	135	136	159	115	82
gene213	CP007536.1	185353	185799	+	447	56	76	54	138	104	187	146	162	166	97
gene214	CP007536.1	186180	186467	-	288	2	4	8	8	5	13	10	11	11	11
gene215	CP007536.1	186927	187247	-	321	10	26	12	43	19	17	22	28	33	16
gene216	CP007536.1	187508	187780	-	273	0	0	0	0	0	0	1	0	0	0
gene217	CP007536.1	187518	187919	-	402	2	1	0	1	0	0	1	2	4	1
gene218	CP007536.1	188301	188501	-	201	8	7	11	20	24	22	25	23	33	24
gene219	CP007536.1	188660	189286	+	627	10	14	19	33	37	35	29	41	37	27
gene220	CP007536.1	189283	189645	-	363	184	184	140	306	348	367	290	360	333	236
gene221	CP007536.1	189636	189815	-	180	17	20	22	37	30	18	29	56	46	24
gene222	CP007536.1	189893	191737	-	1845	115	114	69	175	151	147	153	183	164	102
gene223	CP007536.1	192041	192529	+	489	288	334	261	594	496	733	589	715	654	530
gene224	CP007536.1	192526	193314	-	789	1797	2079	1631	3962	3464	4993	3481	4150	3653	3116
gene225	CP007536.1	193238	193876	+	639	47	66	43	128	75	79	61	81	74	58
gene226	CP007536.1	193891	194364	-	474	105	84	83	220	136	184	141	202	174	114
gene227	CP007536.1	194385	194597	-	213	11	18	14	33	20	10	8	17	13	10
gene228	CP007536.1	194678	194863	+	186	25	41	32	62	39	9	8	10	4	7
gene229	CP007536.1	194909	195736	-	828	73	63	71	174	105	77	68	90	58	55
gene230	CP007536.1	196053	198353	+	2301	500	611	434	1231	881	1380	987	1155	1023	720
gene231	CP007536.1	198487	199680	+	1194	84	113	78	159	119	65	54	66	51	51
gene232	CP007536.1	199730	200152	+	423	541	869	617	1387	841	608	547	890	774	792
gene233	CP007536.1	200258	200938	-	681	442	567	423	1066	763	1844	1740	2568	2134	2057
gene234	CP007536.1	200994	201170	-	177	19	45	35	56	53	82	103	101	117	56
gene235	CP007536.1	201355	201543	+	189	30	41	45	79	69	180	153	279	169	85
gene236	CP007536.1	201540	201875	-	336	58	77	90	124	87	167	123	205	192	126
gene237	CP007536.1	201920	202147	-	228	14	16	17	23	17	28	28	34	20	10
gene238	CP007536.1	202178	203470	-	1293	57	48	35	90	73	56	54	60	39	29
gene239	CP007536.1	203471	204412	+	942	105	134	104	186	156	324	302	340	290	216
gene240	CP007536.1	204426	204752	+	327	206	328	227	420	344	305	195	262	229	208
gene241	CP007536.1	204758	205090	+	333	202	232	177	374	246	200	133	173	154	143
gene242	CP007536.1	205116	205679	-	564	1261	1531	1180	2135	1757	1875	1820	2057	2335	1859
gene243	CP007536.1	205986	206687	+	702	186	299	183	521	383	484	381	477	391	307
gene244	CP007536.1	206684	207310	+	627	236	312	222	499	388	442	334	457	366	317
gene245	CP007536.1	207311	208429	+	1119	259	302	234	564	406	543	426	539	494	390
gene246	CP007536.1	208422	208787	-	366	90	151	138	233	192	202	191	288	247	254
gene247	CP007536.1	208830	209438	-	609	64	75	59	135	137	179	130	107	88	80
gene248	CP007536.1	209442	210053	-	612	171	230	167	373	363	534	376	372	263	228
gene249	CP007536.1	210095	210355	-	261	73	89	52	145	88	133	73	89	98	70
gene250	CP007536.1	210363	211352	-	990	796	1100	774	1680	1378	1620	1003	1014	899	772
gene251	CP007536.1	211491	212999	+	1509	456	633	479	1105	704	630	691	783	664	657
gene252	CP007536.1	213123	213308	+	186	19	29	30	54	37	33	37	47	45	25
gene253	CP007536.1	213312	214478	-	1167	213	252	201	475	358	395	298	425	339	289
gene254	CP007536.1	214562	214792	+	231	19	36	35	54	61	31	49	60	72	50
gene255	CP007536.1	214805	215677	-	873	168	238	155	324	247	331	240	310	263	187
gene256	CP007536.1	215896	215994	+	99	1	0	0	2	0	0	0	1	1	2
gene257	CP007536.1	215973	216350	+	378	3	2	0	4	4	5	0	8	8	2
gene258	CP007536.1	216610	216924	+	315	217	211	165	394	341	496	403	441	418	303
gene259	CP007536.1	216934	217764	-	831	316	368	291	637	517	711	499	604	547	377
gene260	CP007536.1	217950	218258	+	309	111	160	120	245	196	90	99	109	124	101
gene261	CP007536.1	218261	218446	-	186	51	87	62	127	78	43	47	61	74	54
gene262	CP007536.1	218570	218818	-	249	13	27	26	44	34	20	17	16	21	9
gene263	CP007536.1	218918	219325	+	408	94	89	77	208	146	202	155	190	206	145
gene264	CP007536.1	219358	219537	+	180	17	18	21	41	24	31	30	31	38	26
gene265	CP007536.1	219708	219872	-	165	7	7	6	22	22	9	13	17	23	10
gene266	CP007536.1	219865	220023	-	159	15	4	5	21	6	11	8	17	12	12
gene267	CP007536.1	220124	220954	-	831	52	78	58	143	90	92	70	98	100	66
gene268	CP007536.1	221026	222069	-	1044	272	221	213	508	375	324	215	267	262	210
gene269	CP007536.1	222170	222631	-	462	1134	1258	1044	2620	1902	1820	1410	1629	1541	998
gene270	CP007536.1	222678	224309	-	1632	3272	3634	2930	6624	5034	3353	2456	3215	2926	2084
gene271	CP007536.1	224287	224907	-	621	1109	1493	1196	2094	1587	1417	1146	1433	1369	979
gene272	CP007536.1	224949	225521	-	573	163	232	171	416	263	343	277	323	284	229
gene273	CP007536.1	225475	226566	-	1092	180	232	149	364	291	421	322	435	380	228
gene274	CP007536.1	226585	227730	-	1146	418	497	391	914	730	1032	786	978	853	584
